datetime,temp,humidity,wind_speed,solar_ghi,mrt,pa,utci,heat_risk_score,shift,Heat_Risk_Score,Measure 1,Measure 2,Measure 3,Measure 4
2025-05-29 01:00:00,10.08,91,1.39,0.0,10.08,1.1227200616335695,13.0751225720138,1,0,1,No measures required,,,
2025-05-29 02:00:00,9.74,91,0.9,0.0,9.74,1.097432832912122,13.71983536419032,1,0,1,No measures required,,,
2025-05-29 03:00:00,9.7,91,1.33,0.0,9.7,1.0944911576129095,12.694552512428668,1,0,1,No measures required,,,
2025-05-29 04:00:00,9.82,91,1.47,0.0,9.82,1.103337118117803,12.540996405725412,1,0,1,No measures required,,,
2025-05-29 05:00:00,9.65,92,1.73,5.07,9.8021,1.1028109236449262,11.845587088804631,1,0,1,No measures required,,,
2025-05-29 06:00:00,10.28,90,1.84,83.37,12.7811,1.1253301184494986,13.264103356326112,1,0,1,No measures required,,,
2025-05-29 07:00:00,11.2,86,2.08,220.81,17.8243,1.1432262555999315,15.355553100337527,1,0,1,No measures required,,,
2025-05-29 08:00:00,12.74,77,2.53,376.43,24.0329,1.1329662143396595,17.651525030783734,1,1,1,No measures required,,,
2025-05-29 09:00:00,14.4,72,2.98,531.26,30.3378,1.1803132377132337,20.35068758372706,1,1,1,No measures required,,,
2025-05-29 10:00:00,15.54,74,4.01,670.26,35.6478,1.3055183355645064,21.44183568193989,1,1,1,No measures required,,,
2025-05-29 11:00:00,13.63,92,3.81,781.07,37.0621,1.4346807482134691,22.01371924031492,1,1,1,No measures required,,,
2025-05-29 12:00:00,13.31,93,3.9,854.16,38.9348,1.4203489163159964,22.297847318627007,1,1,1,No measures required,,,
2025-05-29 13:00:00,13.37,93,4.41,883.39,39.8717,1.4259182926929617,21.58260814212462,1,1,1,No measures required,,,
2025-05-29 14:00:00,13.98,87,5.25,866.33,39.9699,1.3879224795687743,19.882927089492973,1,1,1,No measures required,,,
2025-05-29 15:00:00,14.65,83,5.77,804.43,38.7829,1.3828008241575405,18.597194025702954,1,1,1,No measures required,,,
2025-05-29 16:00:00,17.3,75,6.39,702.86,38.3858,1.480107845797112,19.071523677755536,1,1,1,No measures required,,,
2025-05-29 17:00:00,17.62,78,6.14,570.32,34.729600000000005,1.570750683378297,18.829462618885547,1,1,1,No measures required,,,
2025-05-29 18:00:00,17.51,79,5.85,418.48,30.0644,1.5798791141748156,17.608919142108533,1,0,1,No measures required,,,
